state,age,
United States,0,
Alabama,8789,
Alaska,0,
Arizona,0,
Arkansas,0,
California,31789136,
Colorado,0,
Connecticut,0,
Delaware,0,
District of Columbia,0,
Florida,316301,
Georgia,439412,
Hawaii,0,
Idaho,0,
Illinois,0,
Indiana,0,
Iowa,401738,
Kansas,0,
Kentucky,0,
Louisiana,261643,
Maine,0,
Maryland,0,
Massachusetts,0,
Michigan,1024,
Minnesota,111824,
Mississippi,0,
Missouri,16421,
Montana,0,
Nebraska,0,
Nevada,0,
New Hampshire,0,
New Jersey,0,
New Mexico,0,
New York,111604,
North Carolina,9491,
North Dakota,3995,
Ohio,0,
Oklahoma,0,
Oregon,0,
Pennsylvania,0,
Rhode Island,0,
South Carolina,112506,
South Dakota,0,
Tennessee,0,
Texas,367943,
Utah,0,
Vermont,0,
Virginia,0,
Washington,2472,
West Virginia,0,
Wisconsin,0,
Wyoming,0,
Puerto Rico,0,
Virgin Islands,0,
Guam,0,
American Samoa,0,
Northern Marianas,0,
